# 2025-04-04
# removed that line:
# HG02300	male	vrk-hic	Q1	Q1b1a1a_father	M3	ref	2025
# sample mislabeled as male in 1KG pedigree file;
# added sample again as female to this table
sample	sample_sex	assembly_type	hg_short	haplogroup_ISOGG_v15.73	haplogroup_yHaplo_term_marker	Y_known_SVs_Teitz-2018	study_generation
HG04157	male	vrk-hic	C1	C1b1a1a2a1	Z5900	NA	2025
HG04160	male	vrk-hic	R2	R2	L266	NA	2025
HG04187	male	vrk-thc	H1	H1a1a4b2a1	Z5877	NA	2025
HG04199	male	vrk-hic	L1	L1a1	M27	NA	2025
HG04204	male	vrk-hic	R1	R1a1a1b2a1a2c	Y7	NA	2025
HG04228	male	vrk-hic	R1	R1a1a1b2a1a1a	Y6	NA	2025
NA18522	male	vrk-hic	E1	E1b1a1a1a2a1a3b1a	U290	ref	2025
NA18608	male	vrk-hic	N1	N1a2b2a1c~	L665	b2/b3_del_plus_dupl	2025
NA18612	male	vrk-hic	C2	C2b1a2b	CTS3385	ref	2025
NA18620	male	vrk-hic	C2	C2b1a2a1a1	M4236	ref	2025
NA18747	male	vrk-hic	N1	N1a2b2a1c~	L665	b2/b3_del	2025
NA18879	male	vrk-hic	E1	E1b1a1a1a2a1	M4254	ref	2025
NA18952	male	vrk-hic	D1	D1a2a1c1	CTS1897	gr/gr_P7-arm-dupl	2025
NA18971	male	vrk-hic	C1	C1a1a1b	Z1356	ref	2025
NA18974	male	vrk-hic	C1	C1a1a1b	Z1356	NA	2025
NA18983	male	vrk-hic	D1	D1a2a1a2b1~	Z3643	gr/gr	2025
NA19043	male	vrk-hic	B2	B2a1a1a1	M109	ref	2025
NA19443	male	vrk-hic	E1	E1b1a1a1a1c1a1a3a1	CTS8030	ref	2025
NA19682	male	vrk-hic	Q1	Q1b1a1a	M3	ref	2025
NA19700	male	vrk-hic	E1	E1b1a1a1a2a1a3b1a	U290	ref	2025
NA20346	male	vrk-hic	E1	E1b1a1a1a2a	U175	ref	2025
NA20752	male	vrk-hic	R1	R1b1a1b1a1a2a1a2	DF17	ref	2025
NA20805	male	vrk-hic	J2	J2a1a1b2a1b1	L70	ref	2025
NA20809	male	vrk-hic	J2	J2a1a1b2a1b1	L70	ref	2025
NA20850	male	vrk-hic	R1	R1a1a1b2a1a2c	Y7	ref	2025
NA20870	male	vrk-hic	G1	G1a1a1b	Z3313	ref	2025
NA20905	male	vrk-hic	J2	J2b2a	M241	ref	2025
NA21093	male	vrk-hic	H1	H1a1b1a	Z4417	P4_dupl	2025
NA24385	male	vrk-thc	J1	J1a2a1a2c1a1	L816	NA	2023
